position,edge_id,osm_way_id,osm_url,piece_index,direction,from_node,to_node,name,highway,travelled_m,route_start_m,route_end_m,entered,start_elevation_m,end_elevation_m,net_dz_m,descent_m,ascent_m,mean_grade_ratio,surface_class,surface_is_assumed,usability,usability_reason,structure_status,start_lat,start_lon,end_lat,end_lon,tag_bridge,tag_tunnel,tag_covered,tag_layer,tag_tracktype,tag_surface,tag_smoothness
11,osm-1306494907-0-forward,1306494907,https://www.openstreetmap.org/way/1306494907,0,forward,6795986757,2697699354,D 211F,secondary,3.66,2806.76,2810.42,True,1847.77,1847.59,-0.18,0.18,0.0,-0.04926,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.095699,6.070398,45.095669,6.070416,,,,,,asphalt,
12,osm-264100535-0-forward,264100535,https://www.openstreetmap.org/way/264100535,0,forward,2697699354,340070613,D 211F,secondary,118.75,2810.42,2929.17,True,1847.59,1839.95,-7.64,7.64,0.0,-0.06447,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.095669,6.070416,45.094654,6.070872,,,,,,asphalt,
13,osm-264100535-1-forward,264100535,https://www.openstreetmap.org/way/264100535,1,forward,340070613,11482749313,D 211F,secondary,17.04,2929.17,2946.21,True,1839.95,1838.79,-1.16,1.16,0.0,-0.06824,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.094654,6.070872,45.094508,6.070937,,,,,,asphalt,
14,osm-264100535-2-forward,264100535,https://www.openstreetmap.org/way/264100535,2,forward,11482749313,340070629,D 211F,secondary,47.99,2946.21,2994.19,True,1838.79,1835.82,-2.97,2.97,0.0,-0.06201,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.094508,6.070937,45.094101,6.071138,,,,,,asphalt,
15,osm-264100535-3-forward,264100535,https://www.openstreetmap.org/way/264100535,3,forward,340070629,312583640,D 211F,secondary,49.89,2994.19,3044.08,True,1835.82,1832.12,-3.7,3.7,0.0,-0.07437,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.094101,6.071138,45.093683,6.071365,,,,,,asphalt,
16,osm-264100535-4-forward,264100535,https://www.openstreetmap.org/way/264100535,4,forward,312583640,2697699472,D 211F,secondary,63.84,3044.08,3107.92,True,1832.12,1827.97,-4.15,4.15,0.0,-0.06515,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.093683,6.071365,45.09315,6.071665,,,,,,asphalt,
17,osm-264100535-5-forward,264100535,https://www.openstreetmap.org/way/264100535,5,forward,2697699472,11482748516,D 211F,secondary,14.83,3107.92,3122.75,True,1827.97,1827.01,-0.96,0.96,0.0,-0.06487,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.09315,6.071665,45.093029,6.071742,,,,,,asphalt,
18,osm-264100535-6-forward,264100535,https://www.openstreetmap.org/way/264100535,6,forward,11482748516,2697699361,D 211F,secondary,17.97,3122.75,3140.72,True,1827.01,1825.73,-1.28,1.28,0.0,-0.0714,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.093029,6.071742,45.092883,6.07184,,,,,,asphalt,
19,osm-264100533-0-forward,264100533,https://www.openstreetmap.org/way/264100533,0,forward,2697699361,340047764,D 211F,secondary,26.17,3140.72,3166.89,True,1825.73,1824.09,-1.64,1.64,0.0,-0.06279,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.092883,6.07184,45.092648,6.071855,,,,,,asphalt,
20,osm-1040486385-0-forward,1040486385,https://www.openstreetmap.org/way/1040486385,0,forward,340047764,9580296743,Rond-Point du Tour de France,secondary,1.68,3166.89,3168.57,True,1824.09,1823.96,-0.13,0.13,0.0,-0.0777,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.092648,6.071855,45.092634,6.071848,,,,,,asphalt,
