rank,distance_m,elapsed_time_s,moving_time_s,start_elevation_m,end_elevation_m,net_dz_m,ascent_crossed_m,descent_m,mean_speed_km_h,max_speed_km_h,max_free_speed_km_h,min_speed_before_stop_km_h,braking_constrained,braking_energy_j,braking_distance_m,active_constraints,braking_substeps,restart_count,distance_to_5kmh_m,distance_to_1kmh_m,distance_to_030ms_m,surface_mix,surface_assumed_share,termination,stop_reason,start_lat,start_lon,end_lat,end_lon,start_offset_m,roads,edges_used,osm_way_ids,start_osm_url,edge_ids,scenario
11,2622.3,239.1,239.1,983.8,723.1,-260.6,1.6,262.2,39.48,58.28,58.3,15.0,True,77698.2,499.9,29,1188,0,,,,asphalt_good=100%,0.0,network_end,route_end,45.067344,6.044125,45.064366,6.039174,0.0,D 211,8,1408117697;1093032931;1408117701;1408117702;1408117698;1462422581;1408117700;184567301,https://www.openstreetmap.org/way/1408117697,osm-1408117697-0-forward;osm-1093032931-0-forward;osm-1408117701-0-forward;osm-1408117702-0-forward;osm-1408117698-0-forward;osm-1462422581-0-forward;osm-1408117700-0-forward;osm-184567301-0-forward,paved_reference
12,2587.5,301.2,301.2,1555.3,1369.2,-186.1,20.4,206.5,30.93,51.8,51.8,0.04,True,52526.4,330.8,19,879,0,2586.2,2587.4,2587.4,asphalt_good=100%,0.0,definitive_stop,definitive_stop,45.09611,6.163504,45.072947,6.156701,0.0,unclassified > D 25A,7,132974155;224234410;359882603;232744091;1444245431;219661707;224234409,https://www.openstreetmap.org/way/132974155,osm-132974155-0-reverse;osm-224234410-0-forward;osm-359882603-0-forward;osm-232744091-0-forward;osm-1444245431-0-forward;osm-219661707-0-forward;osm-224234409-0-forward,paved_reference
13,2558.0,257.5,257.5,1194.5,980.0,-214.6,7.2,221.8,35.76,68.89,69.14,15.0,True,71854.2,516.4,29,1254,0,,,,asphalt_good=100%,0.0,network_end,route_end,45.056385,6.053089,45.069866,6.053394,0.0,Route de Maronne > Place de la Fontaine > Route de Maronne > D 211a,13,232729093;1093032921;1093032922;1093032929;1093032928;1148550235;1148550234;187058987,https://www.openstreetmap.org/way/232729093,osm-232729093-1-forward;osm-232729093-2-forward;osm-1093032921-0-forward;osm-1093032922-0-forward;osm-1093032929-1-forward;osm-1093032929-2-forward;osm-1093032928-0-forward;osm-1093032928-1-forward;osm-1148550235-0-forward;osm-1148550235-1-forward;osm-1148550235-2-forward;osm-1148550234-0-forward;osm-187058987-0-forward,paved_reference
14,2373.2,220.0,220.0,1827.9,1600.0,-227.9,0.3,228.2,38.84,60.14,60.18,15.0,True,57888.2,263.9,17,653,0,,,,asphalt_good=100%,0.0,network_end,route_end,45.093237,6.067371,45.086881,6.058396,0.0,Chemin des Bergers > Chemin du Chamont > D 211,19,105307283;105310862;119437611;264130580;724634109;1462422580;264100584;28437435,https://www.openstreetmap.org/way/105307283,osm-105307283-2-reverse;osm-105310862-0-forward;osm-105310862-1-forward;osm-119437611-0-forward;osm-264130580-1-forward;osm-264130580-2-forward;osm-724634109-0-forward;osm-724634109-1-forward;osm-724634109-2-forward;osm-724634109-3-forward;osm-724634109-4-forward;osm-724634109-5-forward;osm-1462422580-0-forward;osm-1462422580-1-forward;osm-1462422580-2-forward;osm-264100584-0-forward;osm-264100584-1-forward;osm-264100584-2-forward;osm-28437435-0-forward,paved_reference
15,2347.8,221.2,221.2,1180.2,980.0,-200.2,7.2,207.4,38.22,68.89,69.14,15.0,True,62363.1,411.6,23,844,0,,,,asphalt_good=100%,0.0,network_end,route_end,45.054825,6.05471,45.069866,6.053394,0.0,D 211a,10,1093032929;1093032928;1148550235;1148550234;187058987,https://www.openstreetmap.org/way/1093032929,osm-1093032929-0-forward;osm-1093032929-1-forward;osm-1093032929-2-forward;osm-1093032928-0-forward;osm-1093032928-1-forward;osm-1148550235-0-forward;osm-1148550235-1-forward;osm-1148550235-2-forward;osm-1148550234-0-forward;osm-187058987-0-forward,paved_reference
16,2296.4,235.9,235.9,1216.6,1054.1,-162.4,78.2,240.6,35.04,63.63,63.66,0.07,True,65848.1,410.3,30,877,0,1856.9,2296.3,2296.2,asphalt_good=100%,0.0,definitive_stop,definitive_stop,45.157599,6.073429,45.152007,6.072441,0.0,D 43a > Route de l'Enversin,14,1082733498;1082749713;1082749716;1082749715;1082749714;1082749717;97976238,https://www.openstreetmap.org/way/1082733498,osm-1082733498-2-forward;osm-1082749713-0-forward;osm-1082749713-1-forward;osm-1082749713-2-forward;osm-1082749713-3-forward;osm-1082749716-0-forward;osm-1082749715-0-forward;osm-1082749715-1-forward;osm-1082749715-2-forward;osm-1082749715-3-forward;osm-1082749715-4-forward;osm-1082749714-0-forward;osm-1082749717-0-forward;osm-97976238-0-forward,paved_reference
17,2156.9,215.9,215.9,1790.8,1600.0,-190.8,0.3,191.1,35.97,56.88,56.88,12.55,True,46384.8,188.0,14,587,0,,,,asphalt_good=100%,0.0,network_end,route_end,45.091809,6.063039,45.086881,6.058396,0.0,D 211 > Chemin du Chamont > D 211,18,119437614;119437611;264130580;724634109;1462422580;264100584;28437435,https://www.openstreetmap.org/way/119437614,osm-119437614-0-forward;osm-119437614-1-forward;osm-119437611-0-forward;osm-264130580-1-forward;osm-264130580-2-forward;osm-724634109-0-forward;osm-724634109-1-forward;osm-724634109-2-forward;osm-724634109-3-forward;osm-724634109-4-forward;osm-724634109-5-forward;osm-1462422580-0-forward;osm-1462422580-1-forward;osm-1462422580-2-forward;osm-264100584-0-forward;osm-264100584-1-forward;osm-264100584-2-forward;osm-28437435-0-forward,paved_reference
18,2154.3,235.5,235.5,1599.0,1399.1,-199.9,9.5,209.4,32.93,53.49,53.49,0.14,True,51139.1,326.3,21,979,0,2153.3,2154.2,2154.2,asphalt_good=100%,0.0,definitive_stop,definitive_stop,45.086816,6.058447,45.07818,6.054085,0.0,D 211 > D 211C > D 212B > D 211,35,1453146525;264130575;1315255667;1462422576;28437433;222918432;72898374;1082369795;1082369794,https://www.openstreetmap.org/way/1453146525,osm-1453146525-0-forward;osm-264130575-0-forward;osm-264130575-1-forward;osm-264130575-2-forward;osm-1315255667-0-forward;osm-1315255667-1-forward;osm-1315255667-2-forward;osm-1462422576-0-forward;osm-1462422576-1-forward;osm-28437433-0-forward;osm-28437433-1-forward;osm-28437433-2-forward;osm-28437433-3-forward;osm-222918432-0-forward;osm-222918432-1-forward;osm-222918432-2-forward;osm-222918432-3-forward;osm-222918432-4-forward;osm-222918432-5-forward;osm-222918432-6-forward;osm-222918432-7-forward;osm-222918432-8-forward;osm-222918432-9-forward;osm-222918432-10-forward;osm-72898374-0-forward;osm-72898374-1-forward;osm-72898374-2-forward;osm-72898374-3-forward;osm-72898374-4-forward;osm-72898374-5-forward;osm-72898374-6-forward;osm-1082369795-0-forward;osm-1082369795-1-forward;osm-1082369795-2-forward;osm-1082369794-0-forward,paved_reference
19,2133.0,240.9,240.9,1597.4,1399.1,-198.3,9.5,207.8,31.88,53.49,53.49,0.14,True,54508.7,351.5,22,1069,0,2132.0,2132.9,2132.9,asphalt_good=100%,0.0,definitive_stop,definitive_stop,45.086623,6.058746,45.07818,6.054085,0.0,D 211F > D 211 > D 211C > D 212B > D 211,35,264100558;264130575;1315255667;1462422576;28437433;222918432;72898374;1082369795;1082369794,https://www.openstreetmap.org/way/264100558,osm-264100558-0-forward;osm-264130575-0-forward;osm-264130575-1-forward;osm-264130575-2-forward;osm-1315255667-0-forward;osm-1315255667-1-forward;osm-1315255667-2-forward;osm-1462422576-0-forward;osm-1462422576-1-forward;osm-28437433-0-forward;osm-28437433-1-forward;osm-28437433-2-forward;osm-28437433-3-forward;osm-222918432-0-forward;osm-222918432-1-forward;osm-222918432-2-forward;osm-222918432-3-forward;osm-222918432-4-forward;osm-222918432-5-forward;osm-222918432-6-forward;osm-222918432-7-forward;osm-222918432-8-forward;osm-222918432-9-forward;osm-222918432-10-forward;osm-72898374-0-forward;osm-72898374-1-forward;osm-72898374-2-forward;osm-72898374-3-forward;osm-72898374-4-forward;osm-72898374-5-forward;osm-72898374-6-forward;osm-1082369795-0-forward;osm-1082369795-1-forward;osm-1082369795-2-forward;osm-1082369794-0-forward,paved_reference
20,2114.8,210.1,210.1,1784.1,1600.0,-184.1,1.5,185.5,36.24,56.88,56.88,8.83,True,41530.7,146.8,12,456,0,,,,asphalt_good=100%,0.0,network_end,route_end,45.090923,6.065443,45.086881,6.058396,0.0,D 211 > Chemin du Chamont > D 211,17,119437614;119437611;264130580;724634109;1462422580;264100584;28437435,https://www.openstreetmap.org/way/119437614,osm-119437614-2-reverse;osm-119437611-0-forward;osm-264130580-1-forward;osm-264130580-2-forward;osm-724634109-0-forward;osm-724634109-1-forward;osm-724634109-2-forward;osm-724634109-3-forward;osm-724634109-4-forward;osm-724634109-5-forward;osm-1462422580-0-forward;osm-1462422580-1-forward;osm-1462422580-2-forward;osm-264100584-0-forward;osm-264100584-1-forward;osm-264100584-2-forward;osm-28437435-0-forward,paved_reference
1,4494.8,490.5,490.5,1636.1,1355.9,-280.3,15.9,296.2,32.99,55.12,55.12,0.09,True,52020.6,319.9,19,873,0,4493.2,4494.8,4494.8,asphalt_good=100%,0.0,definitive_stop,definitive_stop,45.052416,6.076533,45.047246,6.084524,0.0,Rue de Piégut > Rue de la Piscine > D 211e > Rue Sainte Marie > Rue du Pissaille > D 211G,18,49164994;186907705;935439941;187059537;186901645;186901646;760412724;222919304,https://www.openstreetmap.org/way/49164994,osm-49164994-0-forward;osm-49164994-1-forward;osm-49164994-2-forward;osm-186907705-1-forward;osm-935439941-0-forward;osm-187059537-0-forward;osm-187059537-1-forward;osm-187059537-2-forward;osm-186901645-1-reverse;osm-186901645-0-reverse;osm-186901646-3-reverse;osm-186901646-2-reverse;osm-186901646-1-reverse;osm-186901646-0-reverse;osm-760412724-0-forward;osm-760412724-1-forward;osm-760412724-2-forward;osm-222919304-0-forward,reference_vtc
2,4378.5,515.1,515.1,2043.3,1600.0,-443.3,11.9,455.2,30.6,54.89,54.89,0.03,True,46976.2,318.6,20,816,0,4376.3,4378.4,4378.4,asphalt_degraded=35%;asphalt_good=65%,0.35,network_end,definitive_stop,45.107316,6.081466,45.086881,6.058396,0.0,Route des Lacs > Rond-Point des Pistes > Rue du Pic Blanc > D 211F > Rond-Point du Tour de France > Avenue de l'Étendard > Promenade Clotaire Collomb > Rue de la Grenouillère > Avenue des Jeux > Avenue de Brandes ...,62,905950459;905944758;1082699911;905944753;905944752;234171512;40188688;222918435;1306494913;1306494907;264100535;264100533;1040486385;1040486390;28476170;91229843;1054770671;28476168;119740916;28429105;1054770672;28429107;1112039601;119437608;724628366;264130580;93964270;105506488;105500336;264100532;105500354;1010059118;105500342;724634109;1462422580;264100584;28437435,https://www.openstreetmap.org/way/905950459,osm-905950459-0-forward;osm-905950459-1-forward;osm-905944758-0-forward;osm-1082699911-0-forward;osm-905944753-0-forward;osm-905944752-0-forward;osm-234171512-0-forward;osm-40188688-0-forward;osm-222918435-0-forward;osm-1306494913-0-forward;osm-1306494907-0-forward;osm-264100535-0-forward;osm-264100535-1-forward;osm-264100535-2-forward;osm-264100535-3-forward;osm-264100535-4-forward;osm-264100535-5-forward;osm-264100535-6-forward;osm-264100533-0-forward;osm-1040486385-0-forward;osm-1040486390-0-forward;osm-28476170-1-reverse;osm-91229843-6-reverse;osm-1054770671-0-forward;osm-1054770671-1-forward;osm-28476168-2-forward;osm-28476168-3-forward;osm-28476168-4-forward;osm-119740916-0-forward;osm-119740916-1-forward;osm-28429105-0-forward;osm-1054770672-0-forward;osm-28429107-0-forward;osm-28429107-1-forward;osm-28429107-2-forward;osm-28429107-3-forward;osm-28429107-4-forward;osm-28429107-5-forward;osm-1112039601-0-forward;osm-119437608-0-forward;osm-724628366-0-forward;osm-264130580-0-forward;osm-93964270-0-forward;osm-105506488-2-reverse;osm-105506488-1-reverse;osm-105506488-0-reverse;osm-105500336-2-reverse;osm-105500336-1-reverse;osm-105500336-0-reverse;osm-264100532-2-reverse;osm-264100532-1-reverse;osm-105500354-0-forward;osm-1010059118-0-forward;osm-105500342-0-reverse;osm-724634109-5-forward;osm-1462422580-0-forward;osm-1462422580-1-forward;osm-1462422580-2-forward;osm-264100584-0-forward;osm-264100584-1-forward;osm-264100584-2-forward;osm-28437435-0-forward,reference_vtc
3,4378.5,515.1,515.1,2043.3,1600.0,-443.3,8.3,451.6,30.6,54.89,54.89,0.03,True,46976.2,318.6,20,816,0,4376.3,4378.4,4378.4,asphalt_degraded=35%;asphalt_good=65%,0.347,network_end,definitive_stop,45.107316,6.081466,45.086881,6.058396,0.0,Route des Lacs > Rond-Point des Pistes > Rue du Pic Blanc > D 211F > Rond-Point du Tour de France > Avenue de l'Étendard > Promenade Clotaire Collomb > Rue de la Grenouillère > Avenue des Jeux > Avenue de Brandes ...,62,905950459;905944758;1082699911;905944753;905944752;234171512;40188688;222918435;1306494913;1306494907;264100535;264100533;1040486385;1040486390;28476170;91229843;1054770671;28476168;119740916;28429105;1054770672;28429107;1112039601;119437608;724628366;264130580;93964270;105506488;105500336;93964252;1054770663;1054770667;264100532;105500354;1010059118;105500342;724634109;1462422580;264100584;28437435,https://www.openstreetmap.org/way/905950459,osm-905950459-0-forward;osm-905950459-1-forward;osm-905944758-0-forward;osm-1082699911-0-forward;osm-905944753-0-forward;osm-905944752-0-forward;osm-234171512-0-forward;osm-40188688-0-forward;osm-222918435-0-forward;osm-1306494913-0-forward;osm-1306494907-0-forward;osm-264100535-0-forward;osm-264100535-1-forward;osm-264100535-2-forward;osm-264100535-3-forward;osm-264100535-4-forward;osm-264100535-5-forward;osm-264100535-6-forward;osm-264100533-0-forward;osm-1040486385-0-forward;osm-1040486390-0-forward;osm-28476170-1-reverse;osm-91229843-6-reverse;osm-1054770671-0-forward;osm-1054770671-1-forward;osm-28476168-2-forward;osm-28476168-3-forward;osm-28476168-4-forward;osm-119740916-0-forward;osm-119740916-1-forward;osm-28429105-0-forward;osm-1054770672-0-forward;osm-28429107-0-forward;osm-28429107-1-forward;osm-28429107-2-forward;osm-28429107-3-forward;osm-28429107-4-forward;osm-28429107-5-forward;osm-1112039601-0-forward;osm-119437608-0-forward;osm-724628366-0-forward;osm-264130580-0-forward;osm-93964270-0-forward;osm-105506488-2-reverse;osm-105506488-1-reverse;osm-105506488-0-reverse;osm-105500336-2-reverse;osm-93964252-0-reverse;osm-1054770663-0-forward;osm-1054770667-0-forward;osm-264100532-0-forward;osm-105500354-0-forward;osm-1010059118-0-forward;osm-105500342-0-reverse;osm-724634109-5-forward;osm-1462422580-0-forward;osm-1462422580-1-forward;osm-1462422580-2-forward;osm-264100584-0-forward;osm-264100584-1-forward;osm-264100584-2-forward;osm-28437435-0-forward,reference_vtc
4,4327.1,468.9,468.9,1636.1,1350.1,-286.0,7.6,293.6,33.22,55.12,55.12,6.4,True,61977.1,373.9,23,1046,0,,,,asphalt_degraded=4%;asphalt_good=96%,0.042,network_end,route_end,45.052416,6.076533,45.050066,6.086694,0.0,Rue de Piégut > Rue de la Piscine > D 211e > Rue Sainte Marie > Rue du Pissaille > D 211G > Rue du Tepas > Rue Clos des Bettoux,22,49164994;186907705;935439941;187059537;186901645;186901646;760412724;186901644;186901648,https://www.openstreetmap.org/way/49164994,osm-49164994-0-forward;osm-49164994-1-forward;osm-49164994-2-forward;osm-186907705-1-forward;osm-935439941-0-forward;osm-187059537-0-forward;osm-187059537-1-forward;osm-187059537-2-forward;osm-186901645-1-reverse;osm-186901645-0-reverse;osm-186901646-3-reverse;osm-186901646-2-reverse;osm-186901646-1-reverse;osm-186901646-0-reverse;osm-760412724-0-forward;osm-186901644-0-forward;osm-186901644-1-forward;osm-186901644-2-forward;osm-186901644-3-forward;osm-186901644-4-forward;osm-186901648-1-reverse;osm-186901648-0-reverse,reference_vtc
5,3809.8,387.6,387.6,1608.5,1355.9,-252.6,12.3,264.9,35.39,55.12,55.12,0.09,True,47274.7,270.3,18,760,0,3808.1,3809.7,3809.7,asphalt_good=100%,0.0,definitive_stop,definitive_stop,45.057327,6.077078,45.047246,6.084524,0.0,Rue du Col > D 211e > Rue Sainte Marie > Rue du Pissaille > D 211G,13,49164999;187059537;186901645;186901646;760412724;222919304,https://www.openstreetmap.org/way/49164999,osm-49164999-0-reverse;osm-187059537-1-forward;osm-187059537-2-forward;osm-186901645-1-reverse;osm-186901645-0-reverse;osm-186901646-3-reverse;osm-186901646-2-reverse;osm-186901646-1-reverse;osm-186901646-0-reverse;osm-760412724-0-forward;osm-760412724-1-forward;osm-760412724-2-forward;osm-222919304-0-forward,reference_vtc
6,3679.7,397.9,397.9,1589.3,1355.9,-233.4,12.4,245.8,33.29,55.12,55.12,0.09,True,41286.8,244.5,16,687,0,3678.0,3679.6,3679.6,asphalt_good=100%,0.0,definitive_stop,definitive_stop,45.05581,6.077537,45.047246,6.084524,0.0,service > D 211e > Rue Sainte Marie > Rue du Pissaille > D 211G,17,1018237136;560199123;1354478669;935439941;187059537;186901645;186901646;760412724;222919304,https://www.openstreetmap.org/way/1018237136,osm-1018237136-0-reverse;osm-560199123-2-forward;osm-1354478669-0-forward;osm-935439941-0-forward;osm-187059537-0-forward;osm-187059537-1-forward;osm-187059537-2-forward;osm-186901645-1-reverse;osm-186901645-0-reverse;osm-186901646-3-reverse;osm-186901646-2-reverse;osm-186901646-1-reverse;osm-186901646-0-reverse;osm-760412724-0-forward;osm-760412724-1-forward;osm-760412724-2-forward;osm-222919304-0-forward,reference_vtc
7,3642.0,366.0,366.0,1608.5,1350.1,-258.3,3.9,262.3,35.82,55.12,55.12,15.0,True,57231.2,324.4,22,933,0,,,,asphalt_degraded=5%;asphalt_good=95%,0.05,network_end,route_end,45.057327,6.077078,45.050066,6.086694,0.0,Rue du Col > D 211e > Rue Sainte Marie > Rue du Pissaille > D 211G > Rue du Tepas > Rue Clos des Bettoux,17,49164999;187059537;186901645;186901646;760412724;186901644;186901648,https://www.openstreetmap.org/way/49164999,osm-49164999-0-reverse;osm-187059537-1-forward;osm-187059537-2-forward;osm-186901645-1-reverse;osm-186901645-0-reverse;osm-186901646-3-reverse;osm-186901646-2-reverse;osm-186901646-1-reverse;osm-186901646-0-reverse;osm-760412724-0-forward;osm-186901644-0-forward;osm-186901644-1-forward;osm-186901644-2-forward;osm-186901644-3-forward;osm-186901644-4-forward;osm-186901648-1-reverse;osm-186901648-0-reverse,reference_vtc
